Some strange text ...  
666
Plaice 21-23 IBTS+BITS - ; calculated 2024-04-15 16:17:45 
1999 2023 
1 1  0.1475729 0.1475729 
1 6 
1 1554.1383 12391.5007 6068.9149 1585.4708 822.6172 67.7182
1 3928.7552 31807.964 14493.3469 2392.0105 746.5912 416.0301
1 1167.4272 17127.7743 18393.9769 4295.3487 588.1275 241.245
1 1894.5305 4865.4541 13539.8642 7143.7912 1454.9223 347.3288
1 1770.6135 20216.4402 9362.3508 10502.3771 5433.1826 733.2937
1 1260.5501 7697.3418 16337.1337 7317.5228 4679.9669 2859.3047
1 1605.5565 17103.6935 15372.8402 8353.0898 2916.7335 2514.2282
1 382.2786 10542.3226 24211.1283 9363.2965 3491.7201 751.0243
1 1441.1086 9343.5166 17062.3132 12755.9161 3169.4665 1342.4434
1 1827.0593 6543.7907 8884.1303 4699.3721 1564.9221 504.8321
1 763.2812 5552.456 9863.105 4642.5068 1659.5246 616.0882
1 4125.8056 10326.3172 12939.9941 6505.0925 2561.5674 602.4174
1 1443.9075 15001.0287 12160.1238 5846.5886 2938.0887 1183.1389
1 2674.0806 11274.6876 13074.7905 5455.963 1391.9303 507.6828
1 577.305 8207.453 20660.059 10471.6915 6205.0168 1448.2642
1 278.5612 9098.7562 17034.9288 15311.4364 6970.7311 2403.381
1 549.1481 10706.2764 16085.8729 12437.5783 7695.1154 3759.4207
1 1289.2371 15874.1902 22867.4636 14950.4198 7138.3126 3425.8731
1 4206.0209 16081.3558 22786.3857 10048.5472 5307.2758 2419.6492
1 3707.3434 21360.9638 19311.9054 10510.4663 5821.7533 1887.8064
1 607.2468 18718.9321 25761.867 10229.6677 3121.7933 2076.693
1 7550.6566 8172.5744 13618.6574 14258.59 5715.3452 1720.3078
1 11480.3316 77577.3806 26626.9196 10766.6493 7107.2156 3480.5513
1 20892.3142 145546.0984 76617.2944 17430.8828 9033.2663 4460.3568
1 37590.2415 206441.7344 147830.1513 62315.567 19331.9171 4469.6113
Plaice 21-23 IBTS+BITS; calculated 2024-04-15 16:28:10 
1999 2023 
1 1  0.7924285 0.7924285 
1 6 
1 28513.8433 20841.4206 3863.9415 390.3782 472.3451 93.2195
1 11737.4998 23596.2398 8476.315 109.3729 75.4063 122.2103
1 4338.3754 14849.1725 6938.512 1452.4651 162.4573 203.9042
1 10182.3054 5741.7471 7262.4255 4487.0918 917.9923 160.0513
1 4476.3079 15921.6637 4573.1969 3298.7888 1677.7397 272.3683
1 8465.097 9202.7061 15600.169 3811.7479 2398.6107 1678.5118
1 7945.863 11889.1843 3439.7683 1707.9898 490.0179 579.7375
1 7519.5159 11178.526 10601.8912 2111.836 986.3964 595.4737
1 5806.3957 11211.4633 4786.6165 2814.08 742.1968 353.022
1 2557.544 11653.0178 10036.6866 3481.1485 984.1069 217.1551
1 4691.2369 10573.0171 11496.4267 2122.094 426.5324 228.7397
1 4865.6439 7097.5719 4721.3095 3941.2606 1172.5365 597.8588
1 11555.2243 12764.7559 7961.1814 2814.6679 606.0202 276.5916
1 11973.3799 13317.5089 10075.1185 4985.7937 1208.1256 312.6969
1 5243.2486 11850.1829 11879.9835 5051.8286 2345.4583 906.8817
1 10560.335 12060.6183 11288.7303 5778.4893 3003.4874 816.0598
1 6028.1232 15253.6151 13662.2234 9725.8084 4681.3346 1073.1045
1 12436.4985 14355.3416 10983.7615 4768.2504 2400.7099 1224.5152
1 25661.3355 12319.2535 7429.3299 4285.7848 1784.0542 1196.4686
1 16215.51 21359.6192 9052.2577 3466.0939 1123.4166 1078.034
1 -9 -9 -9 -9 -9 -9
1 52253.511 16243.273 8563.1405 5857.9793 1423.9963 682.3278
1 84861.6274 52697.0998 16204.5602 5147.0199 4000.7024 1411.5479
1 96432.0831 71824.8832 46907.2754 12778.1918 2366.9342 1663.5692
1 127941.3837 86004.9256 56922.961 29334.7207 5329.8994 2169.2389
