PLE21-23									
1 6									
1999 2023								
1 10									
2									
#Proportion mature at start of year (Q1 BITS+IBTS). Mean of 2002 to DataYear									
0.2243022	0.5492902	0.7254987	0.814293	0.8961244	0.9445346	0.9587538	0.9656136	0.9713547	0.9377167
